"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
18169865368410316,17841400031054667,waterloomath,"University of Waterloo Math","⭐️⭐️ Some words of wisdom from our Winter 2026 @uwmathsoc president, Veertej! #interview #uwmath #mathsociety",66,"04/17/2026 06:35",https://www.instagram.com/reel/DXPBItZh6-T/,"IG reel",,Lifetime,14151,75,9,5,0,,
18053280371710132,17841406005349913,uwmathsoc,"UW Mathematics Society","Final Games Night of the term 🎲✨

Exams got you spiraling? Drop the notes and pull up—one last chance this term to procrastinate on studying and lock in on games instead. 

🗓️ Monday, April 13
⏰ 5PM–7PM
📍 MC Comfy

Finals are the final boss… but every hero needs a side quest.",0,"04/12/2026 20:13",https://www.instagram.com/p/DXDm0nLAIdO/,"IG image",,Lifetime,5278,13,10,0,3,1857,0
18073348886233127,17841458229271644,uw.chess.club,"UW Chess Club","MATH MADNESS WINTER 2026

Thank you to everyone who participated in the UW Chess Club x MathSoc Major-vs-Major Rapid Tournament!

🏆 CS-2 & CO+Math/BBA

#chessmadness2026",0,"04/05/2026 21:11",https://www.instagram.com/p/DWxr323jglZ/,"IG carousel",,Lifetime,9945,66,31,4,0,,
18095133991856693,17841406005349913,uwmathsoc,"UW Mathematics Society","🎮✨ LEVEL UP YOUR THURSDAY ✨🎲

Step away from the stress for a bit—you’ve earned it 💜
Come unwind with board games, good company, and some well-deserved fun.

Bring your friends, challenge your profs, and give your brain a break…
or stick around and keep the games going all night long 🌙 👾 

🗓 Thursday, April 2
⏰ 4:30–7PM (with profs)
🌙 7PM–2AM (all night games)
📍 MC Comfy

Have a break, play a board game 🍫",0,"03/30/2026 15:17",https://www.instagram.com/p/DWhmjxcjXlt/,"IG image",,Lifetime,7878,47,51,0,7,2411,0
18411031093131339,17841406005349913,uwmathsoc,"UW Mathematics Society","♟️ Ready for a Checkmate? Join us for a Chess Tournament, in collaboration with Chess Club! ♟️

📅 Date: Monday, March 30
⏰ Time: 6 - 9:30 PM (end time may vary)
📍 Location: MC Comfy

It’s a Swiss-style team tournament with teams based on your program! Sign-up today via link in bio! 

🖤 Come watch some intense matches, enjoy free snacks, and cheer on the players! Prizes await the winners! 🏆",0,"03/26/2026 20:56",https://www.instagram.com/p/DWX6GvggB24/,"IG image",,Lifetime,8583,53,30,1,6,2726,1
17873649348449353,17841406005349913,uwmathsoc,"UW Mathematics Society","Games Night is tomorrow night! ♠️♥️♣️♦️
Come hang out, play board games, and take a break!

This week we have Pizza from City Pizza (King & University location)
📍238 King St N, Waterloo, ON N2J 2Y7",0,"03/25/2026 13:06",https://www.instagram.com/p/DWUfm88lavQ/,"IG image",,Lifetime,4082,10,18,0,1,1597,0
17938916556017720,17841406005349913,uwmathsoc,"UW Mathematics Society","Calling all first year math students📣📣

🎳Come hang out and hit the lanes with your friends!! Whether you’re a strike machine or a proud gutter ball enthusiast, this is your chance to take a break from midterms, meet some new people, and have a great time.

No experience needed, just show up, grab some shoes, and let’s bowl. 
P.S. Spots are VERY limited, please sign up ASAP !!!

signup under the linktree in bio",0,"03/20/2026 09:07",https://www.instagram.com/p/DWHMCpwjFiJ/,"IG image",,Lifetime,7018,40,180,0,4,2538,1
17881990062472610,17841402103054814,uw_ess,"UW Environment Students’ Society","Your voice matters, and we’re making it easier to be heard. Join students from across Ontario on March 24 to defend accessible education and tell the province to reverse the cuts. By showing up in numbers, we send a clear and unified message to the provincial government: students will not be silent when their futures are on the line.

🎟️ $10 – UW undergrads
🎟️$20 – Non-UW undergrads (i.e. grad students, non-UW students)

This rally is organized by an external student group — WUSA is coordinating transportation to help you get there.

More information can be found at the link in our bio..",0,"03/19/2026 17:51",https://www.instagram.com/p/DWFjGsGk8YP/,"IG image",,Lifetime,7906,39,11,0,0,,
18101195311932194,17841406005349913,uwmathsoc,"UW Mathematics Society","Spring 2026 MathSoc Executive Position Applications are EXTENDED!
To give more time for applications, we are extending applications until Sunday, March 22nd at 11:59 PM!

Apply with the same link in our bio!",0,"03/19/2026 16:34",https://www.instagram.com/p/DWFalsrFlb2/,"IG image",,Lifetime,4093,10,5,0,2,1543,0
18346034140228536,17841406005349913,uwmathsoc,"UW Mathematics Society","Games Night is happening March 19th! ♠️♥️♣️♦️
Come hang out, play board games, and take a break!

This week we have Pizza from City Pizza (King & University location)
📍238 King St N, Waterloo, ON N2J 2Y7",0,"03/16/2026 16:27",https://www.instagram.com/p/DV9rbEToBaQ/,"IG image",,Lifetime,4440,19,7,0,2,1634,0
